Year,ItalyPop,ItalyUrbanPop,WorldPop
2025,"59146260","42568771","8231613070"
2024,"59342867","42455134","8161972572"
2023,"59499453","42343688","8091734930"
2022,"59619115","42233014","8021407192"
2020,"59912769","42067015","7887001292"
2015,"60575316","41393818","7470491872"
2010,"60164213","40811310","7021732148"
2005,"58519693","39835813","6586970132"
2000,"57272196","38513990","6171702993"
1995,"57403344","38316513","5758878982"
1990,"57031454","38118729","5327803110"
1985,"56855501","38099260","4868943465"
1980,"56412084","37597841","4447606236"
1975,"55166045","36320918","4070735277"
1970,"53390236","34436288","3694683794"
1965,"51480728","31990341","3334533703"
1960,"49514555","29527606","3015470894"
1955,"48130818","27502303","2740213792"
